Country,Region,HDI_Category,Population,Screening_Rate,Median_Age,Urbanization_Rate,Healthcare_Expenditure,GDP_Per_Capita,Obesity_Rate,Smoking_Rate,Alcohol_Consumption,Physical_Activity_Rate,Family_History_Rate,Breastfeeding_Rate,Average_Diagnosis_Age,Survival_Rate,Access_To_Care,Education_Level,Women_Population,Breast_Cancer_Cases,Breast_Cancer_Deaths,Cases_Per_100K,Deaths_Per_100K,Mortality_Rate
United Kingdom,Asia,High,191540888,66.17,33,67.05,5873,13759,25.52,30.99,3.73,46.83,40.16,82.82,47,80.36,48.78,Primary,95111187,205111,38170,215.65,40.13,18.61
Nigeria,North America,High,129793398,63.18,30,65.86,604,35571,15.78,38.13,0.74,59.76,34.03,67.96,42,96.64,35.5,Primary,64449968,138989,25865,215.65,40.13,18.61
Saudi Arabia,Africa,Low,3532234,12.91,42,69.01,9138,37653,12.11,12.45,5.26,72.63,43.9,54.09,64,68.65,86.96,Secondary,1753959,3782,703,215.63,40.08,18.59
Australia,South America,Low,41960151,12.64,38,26.66,3767,1947,30.66,35.52,7.87,67.74,16.77,77.79,57,73.11,25.97,Tertiary,20835654,44933,8361,215.65,40.13,18.61
France,South America,Medium,96709040,44.87,42,41.22,4364,12059,21.48,37.98,0.01,75.92,45.84,66.89,66,50.85,76.07,Primary,48021661,103560,19272,215.65,40.13,18.61
Egypt,Africa,Low,100152204,33.27,35,44.88,7775,28583,42.7,20.02,12.76,74.12,40.46,81.92,55,94.5,56.33,Primary,49731392,107247,19958,215.65,40.13,18.61
United Kingdom,Europe,Medium,78990845,55.33,42,27.93,3656,29391,45.54,22.15,13.12,42.14,34.84,30.23,35,51.95,54.18,Primary,39223547,84587,15741,215.65,40.13,18.61
South Korea,Asia,Low,91261004,72.61,48,29.49,132,34707,7.71,6.21,13.86,35.37,33.74,36.58,52,96.52,36.37,Primary,45316394,97726,18186,215.65,40.13,18.61
Bangladesh,Europe,Medium,145796310,83.96,37,73.3,6576,22677,32.4,36.5,8.98,47.5,30.51,20.55,52,80.06,68.1,Tertiary,72396344,156125,29054,215.65,40.13,18.61
Australia,North America,High,20815706,23.85,27,83.74,3244,44021,36.07,23.28,3.32,72.56,25.21,36.35,63,87.4,85.2,Primary,10336208,22290,4148,215.65,40.13,18.61
Australia,North America,Medium,190693094,31.93,49,83.7,2613,47563,20.55,12.52,12.06,79.37,36.85,13.13,31,93.54,48.64,Primary,94690208,204203,38001,215.65,40.13,18.61
Turkey,South America,High,178354230,45.17,34,72.86,6924,27880,47.37,21.88,0.22,37.14,16.04,74.99,39,87.84,82.12,Secondary,88563244,190990,35542,215.65,40.13,18.61
Egypt,Asia,Low,125295077,45.17,26,57.1,9120,1458,42.1,25.13,5.76,40.26,39.37,55.21,63,95.17,41.57,Tertiary,62216290,134172,24968,215.65,40.13,18.61
Brazil,Oceania,Medium,105973807,64.55,48,39.29,9562,38678,9.04,7.77,11.04,56.19,11.85,67.45,30,93.92,20.23,Secondary,52622156,113482,21118,215.65,40.13,18.61
France,Africa,High,94777073,53.49,48,39.1,8698,15229,16.69,12.68,14.43,67.76,14.2,51.89,54,62.41,51.09,Primary,47062327,101491,18887,215.65,40.13,18.61
Turkey,North America,Low,97652406,19.52,24,59.95,2747,23270,45.5,5.28,2.28,56.61,17.41,26.58,59,61.13,79.85,Primary,48490097,104571,19460,215.65,40.13,18.61
United States,Asia,Medium,141292804,86.99,44,44.92,2030,4205,15.67,34.46,8.7,55.02,37.44,24.3,53,77.29,30.55,Primary,70160092,151303,28156,215.65,40.13,18.61
Pakistan,Asia,Low,190629155,79.08,20,25.22,7917,26939,30.18,39.22,4.78,51.79,23.99,70.28,56,51.62,73.77,Primary,94658458,204135,37988,215.65,40.13,18.61
Egypt,North America,Medium,138253265,28.23,27,46.59,4794,36791,30.98,35.26,10.25,28.92,48.15,48.21,41,53.15,66.3,Tertiary,68650784,148048,27551,215.65,40.13,18.61
China,Asia,High,50243322,27.76,23,89.66,4245,36170,46.58,9.94,9.35,66.86,27.2,61.8,35,98.03,28.78,Secondary,24948730,53803,10012,215.65,40.13,18.61
Turkey,South America,Low,26259785,58.04,48,58.76,2115,42283,24.59,28.95,13.29,51.17,19.66,45.94,47,63.04,71.46,Secondary,13039510,28120,5233,215.65,40.13,18.61
Canada,Africa,Low,94534389,10.22,20,23.3,8564,35751,14.36,12.65,10.86,66.49,30.22,40.26,38,95.31,34.07,Secondary,46941820,101232,18838,215.65,40.13,18.61
Germany,Oceania,Medium,66872380,68.64,27,30.52,4577,48544,43.03,31.46,10.07,26.08,12.63,86.43,67,83.53,69.89,Primary,33206024,71610,13326,215.65,40.13,18.61
China,South America,Low,140562010,46.42,22,44.61,4468,21957,15.8,15.16,9.9,51.57,30.63,80.4,39,57.1,43.75,Tertiary,69797210,150520,28011,215.65,40.13,18.61
Egypt,Africa,High,20693276,45.88,29,58.78,4020,6945,44.64,8.41,2.82,64.24,39.23,61.03,57,54.95,76.61,Secondary,10275414,22159,4123,215.65,40.12,18.61
India,South America,High,133466777,60.9,26,87.62,2358,48185,8.55,33.02,7.64,22.38,49.45,12.06,68,91.21,82.98,Tertiary,66274014,142922,26597,215.65,40.13,18.61
Canada,South America,High,74581130,27.28,44,60.73,7204,40052,10.02,16.35,3.12,26.55,19.99,58.26,59,86.19,62.83,Tertiary,37033867,79865,14862,215.65,40.13,18.61
Pakistan,Africa,Medium,99721921,17.08,28,66.62,5695,17382,25.72,9.46,2.76,25.02,44.63,84.94,35,65.72,27.64,Tertiary,49517731,106787,19872,215.65,40.13,18.61
Canada,Africa,Medium,122036553,21,21,69.04,5315,27017,26.07,17.78,3.89,38.7,25,79.02,39,80.44,62.39,Tertiary,60598243,130682,24319,215.65,40.13,18.61
Vietnam,Europe,Medium,39054811,34.94,26,56.53,9707,15286,10.13,20.72,7.37,50.32,47.59,10.09,40,74.65,58.97,Primary,19392984,41821,7782,215.65,40.13,18.61
Italy,Europe,Medium,183786481,37.49,38,60.69,6553,16638,32.93,30.6,8.54,79.35,29.73,62.51,30,55.12,68.99,Secondary,91260673,196807,36624,215.65,40.13,18.61
South Africa,Oceania,High,139332111,28.62,21,79.4,512,4165,17.86,38.56,12.36,35.46,42.98,50.09,49,61.31,78.11,Tertiary,69186494,149203,27766,215.65,40.13,18.61
Argentina,Europe,Low,19528107,19.4,22,27.19,2992,37332,38.09,12.72,1.97,68.94,23.98,74.58,60,51.43,55.16,Tertiary,9696840,20911,3891,215.65,40.13,18.61
Saudi Arabia,South America,High,122364799,12.08,47,72.48,5549,42694,13.76,13.54,5.05,51.13,18.79,48.5,62,54.66,51.95,Tertiary,60761237,131034,24384,215.65,40.13,18.61
Saudi Arabia,Europe,High,167438066,13.09,44,82.04,506,2372,6.24,7.73,13.13,63,39.78,29.05,58,52.26,27.66,Secondary,83142734,179300,33366,215.65,40.13,18.61
South Korea,Europe,Medium,55927512,54.61,48,75.1,9487,48263,7.48,5.75,6.05,31.7,17.9,66.66,58,91.87,81.42,Tertiary,27771261,59889,11145,215.65,40.13,18.61
Canada,South America,High,145596360,55.7,38,72.09,2842,38238,13.22,20.36,9.65,64.56,45.36,40.45,55,75.85,39.05,Primary,72297057,155911,29014,215.65,40.13,18.61
Bangladesh,North America,High,194913146,63.77,27,26.56,2340,31449,39.78,39.39,2.02,47.59,24.62,35.29,33,54.03,37.81,Secondary,96785709,208722,38842,215.65,40.13,18.61
Nigeria,Europe,Low,24402066,72.74,20,75.52,4765,34369,41.03,12.6,10.6,74.92,33.88,62.54,56,71.31,34.89,Secondary,12117044,26130,4862,215.65,40.13,18.61
Vietnam,Oceania,Low,61401180,41.82,21,53.44,8876,9410,29.5,32.95,10.99,40.24,19.96,46.68,63,84.29,64.87,Secondary,30489255,65751,12235,215.65,40.13,18.61
United States,North America,High,106545454,46.74,28,35.93,4967,18039,43.5,11.01,6.38,32.82,44.57,72.93,50,54.48,53.22,Tertiary,52906012,114094,21232,215.65,40.13,18.61
Russia,South America,High,182930203,31.11,27,50.2,4649,18803,18.87,15.13,3.94,38.25,36.92,46.78,50,87.78,35.6,Primary,90835481,195890,36454,215.65,40.13,18.61
South Korea,Oceania,Medium,14916688,72.35,26,58.19,3144,36438,35.41,29.74,5.65,73.23,29.25,33.83,41,65.79,52.37,Tertiary,7407002,15973,2972,215.65,40.12,18.61
United Kingdom,Africa,High,174383812,78.97,31,87.32,8045,46618,15.08,20.69,1.18,69.76,31.28,41.61,36,73.97,88.31,Tertiary,86591701,186738,34751,215.65,40.13,18.61
Egypt,Europe,High,65570702,14.2,25,44.81,4029,43362,48.4,35.5,5.42,40.45,17.33,22.33,57,75.85,67.15,Secondary,32559665,70216,13066,215.65,40.13,18.61
Japan,South America,Low,66481631,51.48,40,70.21,1775,39122,43.72,11.34,10.44,49.2,15.16,37.63,52,98.21,71.25,Secondary,33011995,71191,13248,215.65,40.13,18.61
United Kingdom,Asia,Low,85093567,57.8,37,57.51,9963,2776,30.26,37.8,3.04,53.97,40.15,36.8,67,75.04,71.51,Tertiary,42253903,91122,16957,215.65,40.13,18.61
Spain,Europe,High,171957663,47.65,38,34.62,124,23321,17.37,13.62,2.18,41.94,21.07,65.74,60,68.24,67.54,Tertiary,85386977,184140,34267,215.65,40.13,18.61
